metric,family,description
disruption_disruption_positive_xt_added__home_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added__home_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added__home_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model in home matches only."
disruption_disruption_positive_xt_added__home_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model in home matches only."
disruption_disruption_positive_xt_added__last5,Disruption,"Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_positive_xt_added__last5_per90,Disruption,"Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added__last5_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added__last5_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added__last5_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_positive_xt_added__last5_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_positive_xt_added_per90,Disruption,"Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_positive_xt_added_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model (season total)."
disruption_disruption_positive_xt_added_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Positive expected-threat (xT) generated immediately after the disrupting action, from the Disruption model (season total)."
disruption_disruption_score,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model (season total)."
disruption_disruption_score__H1,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the first half (and first-half extra time where played)."
disruption_disruption_score__H1_per90,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__H1_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__H1_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__H1_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the first half (and first-half extra time where played)."
disruption_disruption_score__H1_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the first half (and first-half extra time where played)."
disruption_disruption_score__H2,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the second half (and second-half extra time / shootout where played)."
disruption_disruption_score__H2_per90,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__H2_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__H2_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__H2_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the second half (and second-half extra time / shootout where played)."
disruption_disruption_score__H2_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model during the second half (and second-half extra time / shootout where played)."
disruption_disruption_score__away,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in away matches only."
disruption_disruption_score__away_per90,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__away_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__away_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__away_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in away matches only."
disruption_disruption_score__away_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in away matches only."
disruption_disruption_score__home,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in home matches only."
disruption_disruption_score__home_per90,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__home_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__home_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__home_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in home matches only."
disruption_disruption_score__home_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model in home matches only."
disruption_disruption_score__last5,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_score__last5_per90,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__last5_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__last5_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score__last5_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_score__last5_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_score_per90,Disruption,"Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_score_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model (season total)."
disruption_disruption_score_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Disruption score summed across actions (how much the action broke up a dangerous opposition sequence), from the Disruption model (season total)."
disruption_disruption_value,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model (season total)."
disruption_disruption_value__H1,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the first half (and first-half extra time where played)."
disruption_disruption_value__H1_per90,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__H1_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__H1_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__H1_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the first half (and first-half extra time where played)."
disruption_disruption_value__H1_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the first half (and first-half extra time where played)."
disruption_disruption_value__H2,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the second half (and second-half extra time / shootout where played)."
disruption_disruption_value__H2_per90,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__H2_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__H2_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__H2_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the second half (and second-half extra time / shootout where played)."
disruption_disruption_value__H2_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model during the second half (and second-half extra time / shootout where played)."
disruption_disruption_value__away,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in away matches only."
disruption_disruption_value__away_per90,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__away_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__away_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__away_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in away matches only."
disruption_disruption_value__away_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in away matches only."
disruption_disruption_value__home,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in home matches only."
disruption_disruption_value__home_per90,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__home_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__home_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__home_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in home matches only."
disruption_disruption_value__home_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model in home matches only."
disruption_disruption_value__last5,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_value__last5_per90,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__last5_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__last5_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value__last5_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_value__last5_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model over the most recent 5 matches (season-end form snapshot)."
disruption_disruption_value_per90,Disruption,"Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value_per90_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value_per90_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
disruption_disruption_value_percentile,Disruption - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model (season total)."
disruption_disruption_value_zscore,Disruption - Z-Score,"Standard-deviations from the group mean for: Combined disruption value (disruption score weighted by the xT swing it produced), from the Disruption model (season total)."
fouls__H1,Situational - By Half,Fouls committed during the first half (and first-half extra time where played).
fouls__H1_per90,Situational - By Half,"Fouls committed during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__H1_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__H1_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Fouls committed during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__H1_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Fouls committed during the first half (and first-half extra time where played).
fouls__H1_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Fouls committed during the first half (and first-half extra time where played).
fouls__H2,Situational - By Half,Fouls committed during the second half (and second-half extra time / shootout where played).
fouls__H2_per90,Situational - By Half,"Fouls committed during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__H2_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__H2_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Fouls committed during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__H2_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Fouls committed during the second half (and second-half extra time / shootout where played).
fouls__H2_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Fouls committed during the second half (and second-half extra time / shootout where played).
fouls__away,Situational - Home/Away,Fouls committed in away matches only.
fouls__away_per90,Situational - Home/Away,"Fouls committed in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__away_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__away_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Fouls committed in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__away_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Fouls committed in away matches only.
fouls__away_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Fouls committed in away matches only.
fouls__home,Situational - Home/Away,Fouls committed in home matches only.
fouls__home_per90,Situational - Home/Away,"Fouls committed in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__home_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__home_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Fouls committed in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__home_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Fouls committed in home matches only.
fouls__home_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Fouls committed in home matches only.
fouls__last5,Situational - Rolling Form (L5),Fouls committed over the most recent 5 matches (season-end form snapshot).
fouls__last5_per90,Situational - Rolling Form (L5),"Fouls committed over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__last5_per90_percentile,Situational - Rolling Form (L5) - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__last5_per90_zscore,Situational - Rolling Form (L5) - Z-Score,"Standard-deviations from the group mean for: Fouls committed over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__last5_percentile,Situational - Rolling Form (L5) - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Fouls committed over the most recent 5 matches (season-end form snapshot).
fouls__last5_zscore,Situational - Rolling Form (L5) - Z-Score,Standard-deviations from the group mean for: Fouls committed over the most recent 5 matches (season-end form snapshot).
fouls__leading,Situational - Game State,Fouls committed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
fouls__leading_per90,Situational - Game State,"Fouls committed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__leading_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__leading_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Fouls committed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__leading_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Fouls committed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
fouls__leading_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Fouls committed while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
fouls__level,Situational - Game State,Fouls committed while the scoreline was level at that moment.
fouls__level_per90,Situational - Game State,"Fouls committed while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
fouls__level_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Fouls committed while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
